"","UMAP1","UMAP2","Group"
"S00827AB",3.74744534299611,-0.662193862158159,"SCLC"
"S00829",3.39049199143915,2.21016540380353,"SCLC"
"S00830AB",3.48866589439971,-0.166101630339657,"SCLC"
"S00832",3.83660168736977,-0.57759952926077,"SCLC"
"S00836AB",3.43256121095622,-0.371208090142137,"SCLC"
"S00837AB",3.2074751929199,2.29686943949188,"SCLC"
"S00838",3.66290657928357,0.0234545703792117,"SCLC"
"S00858",-9.93146942629405,-2.48319733745269,"lung NETs Ca A2"
"S01060",0.489573979010067,11.4415066742552,"lung NETs Ca A1"
"S01093",3.00204241272797,-0.268030097786969,"LCNEC"
"S01103_T2",-9.89104039479071,-2.5090444131127,"lung NETs Ca A2"
"S01202",-2.59376569153307,2.93972444474077,"lung NETs Ca B"
"S01242",3.73959473474741,-0.316165046392716,"SCLC"
"S01248",3.04266175198368,-0.250175515166678,"SCLC"
"S01318",2.33438111824161,0.979607219603818,"LCNEC"
"S01407",3.19799514491393,2.38219928068126,"LCNEC"
"S01453",3.65374944535186,-0.726587293432649,"SCLC"
"S01468",2.28931892683072,0.950424123237546,"LCNEC"
"S01493",-2.2853738167611,3.50721345646157,"lung NETs Ca B"
"S01494",3.75177293625807,-0.782364634249001,"SCLC"
"S01496",3.08891138616589,0.161528471103491,"LCNEC"
"S01499",2.99258060081471,-0.227241847551186,"LCNEC"
"S01501",0.0539279512251251,10.7060830886606,"lung NETs Ca A1"
"S01502",0.0779231237652522,10.7007990629139,"lung NETs Ca A1"
"S01505",2.95957552303693,-0.173495258857211,"LCNEC"
"S01508",3.19778572233047,2.33500510176116,"LCNEC"
"S01510",-2.32486447167085,3.36731951686477,"lung NETs Ca B"
"S01511",2.54286207112254,1.55883189514502,"LCNEC"
"S01513",1.76699224317712,0.918598620620603,"lung NETs supra-carcinoids"
"S01515",0.359958115285863,10.9499310265748,"lung NETs Ca A1"
"S01517",1.97939021498186,0.492910741993621,"LCNEC"
"S01518",2.48872038671277,1.61257599058966,"LCNEC"
"S01519",0.962828700889653,11.539759061055,"lung NETs Ca A1"
"S01520",1.19356121055863,11.0928745586626,"lung NETs Ca A1"
"S01521",-10.0395207082676,-2.50452908178043,"lung NETs Ca A2"
"S01524",3.44665690733159,-0.111891134284418,"SCLC"
"S01526",-10.3118299149529,-2.55974033383183,"lung NETs Ca A2"
"S01528",0.679312902067273,11.7951133898628,"lung NETs Ca A1"
"S01529",-9.71901508892783,-2.8841115717008,"lung NETs Ca A2"
"S01531",-10.1571311168302,-2.46076086314906,"lung NETs Ca A2"
"S01532",-10.1909966629914,-2.62329983863834,"lung NETs Ca A2"
"S01533",1.88311079162549,0.399058603423609,"LCNEC"
"S01535",1.87029344800383,0.392492961737429,"LCNEC"
"S01536",0.216221945453854,12.4134130356214,"lung NETs Ca A1"
"S01537",-10.2910005445864,-2.60274589540682,"lung NETs Ca A2"
"S01538",-10.1993047995776,-2.67920326164983,"lung NETs Ca A2"
"S01539",-9.52234029685929,-2.94979201549456,"lung NETs Ca A2"
"S01540",0.243315345415361,11.9248716426101,"lung NETs Ca A1"
"S01541",-8.99976213065007,-2.73725173485789,"lung NETs Ca A2"
